"Work Item ID","Title","Description","Type","Status","Priority","Assignee","Reporter","Due Date","Estimate","Labels","Sprint","Epic","Project","Attachments","Comments","Parent ID","Dependencies","Created At","Updated At","Skills Required"
"TASK-022-003","Create 3D Dice Roll Animation","Develop the visual effect for the dice roll. This includes creating or integrating 3D models for the dice and implementing either a physics-based or a pre-canned animation that shows the dice tumbling and landing on their final values. The animation must be skippable based on game speed settings.","Task","Backlog","Medium","dev_ui@project.com","pm@project.com","",12.7,"animation,vfx,dice-roll","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-015","TASK-022-002","","","Unity,3D"
"US-016","Watch my token automatically move around the board","As a player, I want to see my game token animate its movement from one space to the next after I roll the dice, so that I can visually track my progress around the board and have an immersive, intuitive gameplay experience.","Story","Backlog","Critical","dev_ui@project.com","pm@project.com","",25.3,"token-movement,animation,camera","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-014,US-015,US-055","","",
"TASK-022-004","Map Board Spaces to 3D World Coordinates","Create a data structure (e.g., a ScriptableObject or array in a manager class) that maps each of the 40 logical board space indices to a precise `Vector3` position in the Unity scene where a token should be placed.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",6,"unity,3d,board-setup","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-016","TASK-001-002","","","Unity,C#"
"TASK-022-005","Implement Token Movement Animation Logic","Create a coroutine or tween-based animation system that takes a starting space index and a number of spaces to move. The system must animate the player's token prefab from one coordinate to the next sequentially until it reaches the destination. The speed must be tied to the game speed setting.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",12.7,"animation,token-movement,unity","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-016","TASK-022-004","","","Unity,C#"
"TASK-022-006","Implement Camera Follow for Token Movement","Create a script for the main camera that smoothly follows the active player's token as it moves around the board. The camera should pan and possibly zoom to keep the token centered and in view during its movement animation.","Task","Backlog","Medium","dev_ui@project.com","pm@project.com","",6.3,"camera,unity","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-016","TASK-022-005","","","Unity,C#"
"US-029","Manage my properties before rolling the dice","As a strategic player, I want a dedicated phase at the start of my turn to manage my properties (build, mortgage, trade) before I roll the dice, so that I can proactively adjust my financial position and property development to prepare for the opportunities and risks of my upcoming move.","Story","Backlog","Critical","dev_lead@project.com","pm@project.com","",20.9,"turn-loop,core-logic,state-machine","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-015,US-033,US-038,US-040,US-052","","",
"TASK-012-001","Implement Game Turn State Machine","Design and implement a formal state machine to manage the phases of a player's turn (Pre-Turn, Pre-Roll Management, Roll, Movement, Action, Post-Roll). This service will be the central controller for game flow.","Task","Backlog","High","dev_lead@project.com","pm@project.com","",12.7,"architecture,state-machine,core-logic","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","This is a critical, high-complexity architectural task.","US-017","TASK-009-002","","","C#"
"US-017","Receive an extra turn after rolling doubles","As a player (human or AI), I want to be granted an immediate, additional turn after I roll doubles, so that the game correctly follows the official Monopoly rules and provides an authentic gameplay experience.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",4,"doubles,core-rules","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-015,US-016,US-022","","",
"TASK-012-002","Implement Doubles Counter and Extra Turn Logic","Within the Turn State Machine, add logic to check the result of a dice roll. If it's a double, increment a per-turn counter on the active `PlayerState`. In the 'Post-Roll' phase, if the doubles counter is 1 or 2, transition the state back to 'Pre-Roll Management' for the same player.","Task","Backlog","High","dev_core@project.com","pm@project.com","",4,"core-rules,state-machine","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-017","TASK-012-001","","","C#"
"US-018","Be sent to jail for rolling three consecutive doubles","As a player, I want the game to automatically send my token to jail if I roll three consecutive doubles in a single turn, so that the game correctly enforces the official rules and maintains the strategic balance of risk and reward associated with rolling doubles.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",4.2,"jail,core-rules","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-015,US-017,US-020","","",
"TASK-014-001","Implement 'Three Doubles to Jail' Rule","In the Turn State Machine's post-roll check, if a third consecutive double is detected, immediately end the current player's turn sequence, set their `status` to `InJail`, and move their token directly to the Jail space. Ensure no movement from the dice roll occurs.","Task","Backlog","High","dev_core@project.com","pm@project.com","",4.2,"jail,core-rules,state-machine","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-018","TASK-012-002","","","C#"
"US-019","Collect $200 salary when passing or landing on GO","As a Player, I want my cash balance to be automatically credited with a $200 salary so that the game correctly follows the official rules and I receive the funds I am entitled to for completing a lap of the board.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",4.2,"core-rules,economy","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-016,US-049","","",
"TASK-013-001","Implement 'Pass Go' Salary Logic","In the Movement phase of the turn, after calculating the destination space, check if the token's path has crossed from a high index (e.g., >10) to a low index (<10). If so, credit the active player's cash with $200. This must not trigger on a direct 'Go to Jail' move.","Task","Backlog","High","dev_core@project.com","pm@project.com","",4.2,"core-rules,economy","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-019","TASK-012-001","","","C#"
"US-027","Pay a fixed Luxury Tax amount","As a player, I want the game to automatically deduct the fixed Luxury Tax amount from my cash when I land on that space, so that the game correctly follows the official rules and I can continue my turn without manual calculations.","Story","Backlog","High","dev_core@project.com","pm@project.com","",3.2,"core-rules,economy","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-016,US-038,US-047,US-052","","",
"TASK-013-002","Implement Luxury Tax Space Action","In the Action phase of the turn, if the player has landed on the Luxury Tax space, automatically deduct the fixed tax amount from their cash. This will require integration with the bankruptcy flow if funds are insufficient.","Task","Backlog","High","dev_core@project.com","pm@project.com","",3.2,"core-rules,economy","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-027","TASK-012-001","","","C#"
"US-028","Experience no gameplay effect when landing on Free Parking","As a player, I want the game to apply no special action when my token lands on the Free Parking space so that the game adheres to the official Monopoly rules and my turn proceeds correctly.","Story","Backlog","High","dev_core@project.com","pm@project.com","",1,"core-rules","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-015,US-016,US-017,US-019","","",
"TASK-013-003","Implement Free Parking Space Action (No-Op)","In the Action phase of the turn, if the player has landed on Free Parking, the logic should perform no operation and simply transition to the Post-Roll phase.","Task","Backlog","High","dev_core@project.com","pm@project.com","",1,"core-rules","Sprint 2","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-028","TASK-012-001","","","C#"
"US-044","Automatically collect rent when an opponent lands on my property","As a property owner, I want the game to automatically calculate and transfer the correct rent from an opponent who lands on my property so that the game rules are enforced fairly and I can focus on my strategy without manually managing transactions.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",19,"core-rules,economy,rent","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-016,US-030,US-038,US-033,US-047","","",
"US-045","Automatically pay rent when I land on an opponent's property","As a player, I want the game to automatically calculate and process my rent payment when I land on an opponent's property, so that the game flows smoothly and the rules are enforced correctly without manual intervention.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","core-rules,economy,rent","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-044","EPIC-001","US-016,US-030,US-033,US-038,US-047","","",
"TASK-013-005","Implement Rent Calculation Engine","Create a service that takes a property ID and the current GameState as input and returns the correct rent amount. This engine must account for monopoly ownership (doubled rent), development level (houses/hotels), number of railroads owned, and dice roll for utilities.","Task","Backlog","High","dev_core@project.com","pm@project.com","",12.7,"core-rules,economy,rent","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-044","TASK-012-001","","","C#"
"TASK-013-006","Implement Rent Transaction Logic","In the Action phase of the turn, if a player lands on an owned property, use the Rent Calculation Engine to determine the rent. Execute the atomic transaction of debiting the renter and crediting the owner. Integrate with the bankruptcy flow if the renter cannot pay.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"core-rules,economy,rent","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-044","TASK-013-005","","","C#"
"US-026","Choose to pay $200 or 10% of my net worth for Income Tax","As a human player, I want to be presented with a clear choice between paying a flat $200 or 10% of my total net worth when I land on the Income Tax space, so that I can make the most strategic financial decision to preserve my cash and improve my chances of winning, in accordance with the official game rules.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",12.6,"core-rules,economy,ui","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-016,US-038,US-033,US-047","","",
"TASK-013-004","Implement Net Worth Calculator Service","Create a service that can calculate a player's total net worth at any time. The calculation must sum cash, the printed value of all owned properties (including mortgaged ones), and the purchase price of all buildings.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"core-rules,economy","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-026","TASK-009-001","","","C#"
"US-051","Interact with modal dialogs for critical decisions","As a human player, I want the game to pause and display a focused, interactive pop-up for critical, turn-halting decisions, so that I can consciously evaluate my options and make informed choices without the risk of missing important game events.","Story","Backlog","Critical","dev_ui@project.com","pm@project.com","",12.7,"ui,modal,ux","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-030,US-041,US-026","","",
"TASK-029-001","Develop a Reusable Modal Dialog System","Create a generic, prefab-based modal dialog system. It should support a title, body content, and a dynamic number of action buttons. The system must be able to block background UI interactions and provide callbacks for button clicks.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",12.7,"ui,architecture,modal","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-051","TASK-001-002","","","Unity,C#"
"TASK-029-002","Implement Income Tax Dialog UI","Using the modal dialog system, create the specific UI for the Income Tax choice. The UI controller must call the Net Worth Calculator service, format the two choices ('Pay $200' and 'Pay 10% ($XXX)'), and display them on the buttons.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",6.3,"ui,modal,economy","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-026","TASK-029-001,TASK-013-004","","","Unity,C#"
"US-030","Choose to buy an unowned property I land on","As a human player, I want to be presented with a clear, informative prompt when I land on an unowned property, giving me the option to purchase it for its listed price, so that I can strategically acquire assets, build monopolies, and progress towards winning the game.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",14.6,"core-rules,economy,ui","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-016,US-050","","",
"TASK-015-001","Implement Buy/Auction Property Dialog UI","Using the modal dialog system, create the UI for the property purchase decision. It must display a visual of the property card, the player's current cash, and buttons for 'Buy' (with price) and 'Auction'. The 'Buy' button must be disabled if the player has insufficient funds.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",8.3,"ui,modal,economy","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-030","TASK-029-001","","","Unity,C#"
"TASK-015-002","Implement Buy Property Transaction Logic","Implement the backend logic for when a player clicks 'Buy'. This involves an atomic transaction that debits the player's cash and adds the property deed to their list of owned properties. Fire an event to notify the UI to update.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"core-rules,economy,transaction","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-030","TASK-012-001,TASK-015-001","","","C#"
"US-031","Choose to send an unowned property to auction instead of buying it","As a Human Player, I want the option to decline the immediate purchase of an unowned property I land on so that I can trigger an auction for that property, allowing me to either acquire it for a lower price or force other players to spend their cash.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","core-rules,auction","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares UI task with US-030","EPIC-001","US-030,US-032,US-016","","",
"US-032","Participate in an auction for a property","As a Human Player, I want to participate in a turn-based auction for an unowned property, placing bids against AI opponents, so that I have a strategic opportunity to acquire properties that were not purchased outright and can compete to complete my sets or block my opponents.","Story","Backlog","Critical","dev_lead@project.com","pm@project.com","",29.6,"core-rules,auction,ui,ai","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-031,US-045","","",
"TASK-015-003","Implement Property Auction UI","Create a new modal UI for the auction process. It must display the property being auctioned, the current high bidder and bid amount, and provide controls for the human player to 'Place Bid' or 'Withdraw'.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",12.7,"ui,modal,auction","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-032","TASK-029-001","","","Unity,C#"
"TASK-015-004","Implement Auction State Machine","Create a service to manage the auction flow. It must handle the clockwise bidding order, track which players have withdrawn, determine the winner when only one bidder remains, and process the final sale transaction.","Task","Backlog","High","dev_core@project.com","pm@project.com","",12.7,"state-machine,core-rules,auction","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-032","TASK-012-001","","","C#"
"TASK-015-005","Implement AI Bidding Logic Stub","Create a basic AI bidding strategy. For this initial version, the AI will simply bid if the current price is less than a certain percentage (e.g., 120%) of the property's list price and if it has sufficient cash. This will be expanded upon in the main AI stories.","Task","Backlog","Medium","dev_ai@project.com","pm@project.com","",4.2,"ai,auction","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-032","TASK-015-004","","","C#,AI"
"US-056","Adjust master, music, and sound effect volumes independently","As a player, I want to independently adjust the master, music, and sound effect volume levels so that I can customize the game's audio to my personal preference for a more enjoyable experience.","Story","Backlog","High","dev_ui@project.com","pm@project.com","",16.6,"settings,audio,ui","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-054","","",
"TASK-030-004","Set Up Unity AudioMixer","Create a Unity AudioMixer with three main groups: Master, Music, and SFX. Expose the volume parameter for each group so it can be controlled via script.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",4,"audio,unity,settings","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-056","TASK-001-002","","","Unity,Audio"
"TASK-030-005","Implement Volume Sliders UI","In the settings menu, add three slider controls, one for each audio group. The sliders should be labeled clearly. Implement the `OnValueChanged` listeners for each slider.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",6.3,"ui,settings,audio","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-056","TASK-030-001","","","Unity,C#"
"TASK-030-006","Implement Audio Settings Persistence","Create a service to save and load audio settings to a local config file (e.g., JSON). When a slider value changes, save it immediately. On game startup, load the saved values and apply them to the AudioMixer and the UI sliders.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"persistence,settings,audio","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-056","TASK-030-005,TASK-007-001","","","C#,.NET"
"US-024","Draw a Chance card when landing on a Chance space","As a player, I want the game to automatically draw a Chance card and execute its instructions when my token lands on a Chance space, so that the game follows the official rules and introduces the element of luck and surprise that is core to the Monopoly experience.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",37.9,"core-rules,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-016,US-018,US-019,US-047","","",
"US-025","Draw a Community Chest card when landing on a Community Chest space","As a player, I want the game to automatically draw a Community Chest card and execute its instructions when my token lands on a Community Chest space, so that the game correctly follows the official rules of Monopoly and the game state is updated accordingly without manual effort.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","core-rules,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-024","EPIC-001","US-016,US-018,US-047","","",
"TASK-016-001","Implement Card Deck Manager Service","Create a `DeckManager` service that initializes the Chance and Community Chest decks at the start of a new game. It must shuffle the decks and provide methods to `DrawCard(deckType)` and `ReturnCardToBottom(card, deckType)`.","Task","Backlog","High","dev_core@project.com","pm@project.com","",8.3,"core-rules,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-024","TASK-009-002","","","C#"
"TASK-016-002","Define Card Data Schema and Load from JSON","Create a JSON file that defines all Chance and Community Chest cards, including their text and an action type/parameter (e.g., `{""action"": ""AddMoney"", ""amount"": 50}`). Implement a loader to parse this file into a list of card data objects at runtime.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"data-schema,json,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-024","TASK-016-001","","","C#,JSON"
"TASK-016-003","Implement Card Action System (Command Pattern)","Create an action system (e.g., using the Command Pattern) to execute the effects of cards. Define an `ICardAction` interface and create concrete classes for each action type (AddMoney, MovePlayer, GoToJail, etc.). A factory will create the correct action object based on the card's data.","Task","Backlog","High","dev_lead@project.com","pm@project.com","",17,"architecture,command-pattern,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-024","TASK-016-002","","","C#"
"TASK-016-004","Implement Card Display UI","Create a modal UI prefab to display a drawn card. The UI should show the card's text and artwork and have a 'Continue' button for the human player to acknowledge it. For AI players, this UI should appear as a smaller, non-intrusive, auto-dismissing notification.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",6.3,"ui,modal,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-024","TASK-029-001","","","Unity,C#"
"US-020","Get out of jail by paying the $50 fine","As a player who is in jail, I want to be presented with the option to pay a $50 fine at the beginning of my turn, so that I can immediately get out of jail and continue my turn normally, allowing me to maintain momentum in the game.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",18.8,"jail,core-rules,ui","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-018,US-049","","",
"US-021","Get out of jail by using a 'Get Out of Jail Free' card","As a player who is in jail and owns a 'Get Out of Jail Free' card, I want to be presented with the option to use it at the start of my turn, so that I can get out of jail immediately without spending money or relying on a lucky dice roll.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","jail,core-rules,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-020","EPIC-001","US-018,US-024,US-025,US-020","","",
"US-022","Attempt to get out of jail by rolling for doubles","As a player in jail, I want to choose the option to roll the dice on my turn, so that I can attempt to get out of jail for free by rolling doubles, preserving my cash and 'Get Out of Jail Free' cards.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","jail,core-rules,dice-roll","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-020","EPIC-001","US-018,US-015,US-016","","",
"TASK-014-002","Implement Core Jail State Logic","In the Turn State Machine, implement the 'Pre-Turn' phase logic for a jailed player. This includes checking `jail_turns_remaining` and presenting the available options (Pay, Use Card, Roll). Implement the state change from `InJail` to `Active`.","Task","Backlog","High","dev_core@project.com","pm@project.com","",8.3,"jail,core-rules,state-machine","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-020","TASK-012-001","","","C#"
"TASK-014-003","Implement 'Jail Options' UI","Create a modal dialog UI that is displayed at the start of a jailed player's turn. It must dynamically show the available options ('Pay $50 Fine', 'Use Card', 'Roll for Doubles') as buttons. Buttons for actions the player cannot take (e.g., pay with no cash) must be disabled.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",6.3,"ui,modal,jail","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-020","TASK-029-001","","","Unity,C#"
"TASK-014-004","Implement 'Use Get Out of Jail Free Card' Logic","Implement the backend logic for using a GOJF card. This must decrement the player's card count, set their status to Active, and call the `DeckManager` to return the card to the bottom of its original deck.","Task","Backlog","High","dev_core@project.com","pm@project.com","",4.2,"jail,core-rules,cards","Sprint 3","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-021","TASK-014-002,TASK-016-001","","","C#"
"US-052","Access a dedicated interface to manage all my properties","As a human player managing my in-game assets, I want to access a dedicated property management screen so that I can efficiently view the status of all my properties and take strategic actions like building or mortgaging from a single, consolidated interface.","Story","Backlog","Critical","dev_ui@project.com","pm@project.com","",29.3,"ui,property-management,ux","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-029,US-033,US-038","","",
"TASK-026-001","Implement Property Management UI Shell","Create a new modal screen for property management. The layout should include a scrollable area for property cards and a persistent display of the player's current cash. Include a 'Close' button.","Task","Backlog","High","dev_ui@project.com","pm@project.com","",8.3,"ui,property-management","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-052","TASK-029-001","","","Unity,C#"
"TASK-026-002","Create Dynamic Property Card UI Prefab","Design and implement a UI prefab for a single property card. It must display the property's name, color group, development level (icons for houses/hotel), mortgage status, and have a container for action buttons (Build, Mortgage, etc.).","Task","Backlog","High","dev_ui@project.com","pm@project.com","",8.3,"ui,prefab,property-management","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-052","TASK-026-001","","","Unity,C#"
"TASK-026-003","Implement Property Management UI Data Binding","Create a `PropertyManagementController` that, when the UI is opened, reads the current player's `properties_owned` list. For each property, it instantiates a property card prefab and populates it with the correct data and visual state (e.g., mortgaged overlay).","Task","Backlog","High","dev_ui@project.com","pm@project.com","",12.7,"ui,data-binding,property-management","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-052","TASK-026-002","","","Unity,C#"
"US-033","Build houses on properties in a complete color set","As a player who owns a complete color set, I want to purchase and build houses on those properties so that I can increase the rent value and gain a strategic advantage over my opponents.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",29.2,"core-rules,economy,building","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-030,US-052,US-034,US-036","","",
"US-034","Enforce even building rule for property development","As a player who owns a complete property set (a monopoly), I want the game to enforce the 'even building' rule when I try to purchase or sell houses, so that the game is fair, follows official Monopoly rules, and maintains its strategic economic balance.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","core-rules,economy,building","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-033","EPIC-001","US-033,US-052,US-038","","",
"US-035","Upgrade a set of 4 houses to a single hotel","As a strategic player who has acquired a full monopoly and developed it with four houses on each property, I want to purchase a hotel for each of those properties, returning the four houses to the bank, so that I can charge the maximum possible rent and increase my chances of winning the game.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","core-rules,economy,building","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-033","EPIC-001","US-033,US-034,US-052","","",
"TASK-015-006","Implement Core Building Transaction Logic","Create a `BuildingService` that handles the atomic transaction of purchasing a building. It must check for sufficient player cash, debit the player, and decrement the available building supply from the `BankState`.","Task","Backlog","High","dev_core@project.com","pm@project.com","",8.3,"core-rules,building,transaction","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-033","TASK-012-001","","","C#"
"TASK-015-007","Implement 'Even Building' Rule Validator","In the `BuildingService`, before executing a purchase, create a validation method that checks the 'even building' rule. It must take a property and compare its house count to all other properties in the same color group owned by the player.","Task","Backlog","High","dev_core@project.com","pm@project.com","",8.3,"core-rules,building,validation","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-034","TASK-015-006","","","C#"
"TASK-015-008","Implement Hotel Upgrade Logic","Extend the `BuildingService` to handle hotel purchases. This logic must verify that all properties in the monopoly have 4 houses. The transaction must correctly return 4 houses to the bank's supply while decrementing 1 hotel.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"core-rules,building,hotel","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-035","TASK-015-007","","","C#"
"TASK-026-004","Implement Build/Sell Button Logic in UI","On the property card prefab, implement the `OnClick` handlers for 'Build House', 'Sell House', and 'Build Hotel' buttons. These handlers will call the `BuildingService`. The controller must also dynamically enable/disable these buttons based on the validation rules (even building, cash, bank supply).","Task","Backlog","High","dev_ui@project.com","pm@project.com","",6.3,"ui,property-management,building","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-033","TASK-026-003,TASK-015-006","","","Unity,C#"
"US-038","Mortgage an undeveloped property to get cash","As a player managing my finances, I want to mortgage my undeveloped properties to the Bank, so that I can receive immediate cash to pay debts, fund purchases, or avoid bankruptcy.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","",12.5,"core-rules,economy,mortgage","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-052,US-044","","",
"US-039","Unmortgage a property by paying the principal plus 10% interest","As a Human Player managing my assets, I want to pay the bank to unmortgage one of my properties so that I can start collecting rent on it again and enable future development.","Story","Backlog","Critical","dev_core@project.com","pm@project.com","","core-rules,economy,mortgage","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","Shares tasks with US-038","EPIC-001","US-038,US-052,US-044","","",
"TASK-015-011","Implement Mortgage/Unmortgage Transaction Logic","Create a `MortgageService` to handle the logic. The `Mortgage` method credits the player with the mortgage value and sets the property's state. The `Unmortgage` method debits the player for the value + 10% interest and clears the state. Both must be atomic.","Task","Backlog","High","dev_core@project.com","pm@project.com","",8.3,"core-rules,mortgage,transaction","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-038","TASK-012-001","","","C#"
"TASK-026-005","Implement Mortgage/Unmortgage Button Logic in UI","On the property card prefab, add 'Mortgage' and 'Unmortgage' buttons. The UI controller must show/hide these buttons based on the property's current mortgage status and enable/disable them based on player funds and game rules (e.g., cannot mortgage with buildings).","Task","Backlog","High","dev_ui@project.com","pm@project.com","",4.2,"ui,property-management,mortgage","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-038","TASK-026-003,TASK-015-011","","","Unity,C#"
"US-023","Be forced to pay the fine after failing to roll doubles for 3 turns in jail","As a player in jail for my third consecutive turn, I want the game to automatically force me to pay the $50 fine if I fail to roll doubles, so that the official game rules are enforced and my turn can proceed correctly.","Story","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"jail,core-rules,economy","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-022,US-038,US-047","","",
"TASK-014-005","Implement Forced Jail Payment Logic","In the jail state logic, on the player's final turn, if the roll is not doubles, automatically trigger a $50 payment transaction. If the player has insufficient funds, the logic must trigger the bankruptcy/asset liquidation flow before allowing the player to move.","Task","Backlog","High","dev_core@project.com","pm@project.com","",6.3,"jail,core-rules","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-023","TASK-014-002","","","C#"
"US-036","Notify player of building shortage when attempting to build","As a player trying to develop my properties, I want to receive a clear, immediate notification when I am unable to build because the bank has run out of houses or hotels, so that I understand the game state and can adjust my strategy without thinking the game is broken.","Story","Backlog","Medium","dev_ui@project.com","pm@project.com","",4.2,"building,ui,notification","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","EPIC-001","US-033,US-052","","",
"TASK-015-009","Implement Building Shortage Rule","In the `BuildingService`, add a validation check at the beginning of any purchase request to ensure the bank's supply for the requested building type is greater than zero. If not, the transaction is rejected.","Task","Backlog","High","dev_core@project.com","pm@project.com","",4.2,"core-rules,building,validation","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-036","TASK-015-006","","","C#"
"TASK-012-003","Integrate Management Actions into Pre-Roll Phase","In the Turn State Machine, ensure that the 'Pre-Roll Management Phase' correctly enables the UI for property management (building, mortgaging) and trading. When the 'Roll Dice' action is triggered, ensure all these management UIs are disabled.","Task","Backlog","High","dev_lead@project.com","pm@project.com","",6.3,"state-machine,core-loop,ui","Sprint 4","Technical Foundation & Project Setup","Monopoly Tycoon","","","US-029","TASK-012-001,US-052,US-053","","","C#"
